Code du domaine fonctionnel;Intitulé du domaine fonctionnel;Désignation du domaine fonctionnel Niv 1;Désignation du groupe de domaine fonctionnel ;Remarque ;Description;;;;;;
114ADM;ADM SERVICES;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Administration et fonctionnement des services de logistique immobilière;;;;;;
114VIAB;FLUIDES DEP COURANTES LI;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Dépenses de fluides et dépenses courantes de logistique immobilière;;;;;;
114CONS;CONSTRUCTIONS RESTRUCT;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Travaux de construction et de restructuration;;;;;;
114CONT;CONTRATS MAINT;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Contrats de maintenance;;;;;;
114MAIN;TVX MAINTENANCE;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Travaux de maintenance;;;;;;
114DIAG;CONTROLES PERIOD ET DIAG;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Contrôles périodiques et diagnostics;;;;;;
114ESP;GESTION ESPACES VERTS;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Gestion des espaces verts;;;;;;
114NETT;NETTOYAGE DES LOCAUX;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Nettoyage des locaux;;;;;;
114HYG;HYG ET SECU DEP COURANTES;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Hygiène et sécurité : dépenses courantes ;;;;;;
114ENVT;PROT ENVT ET DVPT DURABLE;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Protection de l'environnement, gestion des déchets, développement durable…;;;;;;
114RISQ;PREVENTION RISQUES;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Protection des risques;;;;;;
114TSEC;TVX MISE EN SECURITE;GPEDFUDS;Groupe DF 114 Immobilier;Exécution;Travaux de mise en sécurité;;;;;;
;;;;;;;;;;;
115;Pil & anim des prog;LOLF_CUMUL;Groupe DF 115 Pilotage et anim prog;Budget;;;;;;;
115PIL;PILOTAGE ANIM RES ACC PJT;GPEDFUDS;Groupe 115 Pilotage;Exécution;Pilotage stratégique, animation de réseaux, accompagnement de projets;;;;;;
115ADM;ADM SERVICES LOG ADM;GPEDFUDS;Groupe 115 Pilotage;Exécution;Administration et fonctionnement des services de logistique administrative;;;;;;
115COM;COMMUNICATION EVTS;GPEDFUDS;Groupe 115 Pilotage;Exécution;Organisation et gestion de la communication:supports, événementiels,…;;;;;;
115GESF;GESTION FIN ET COMPT;GPEDFUDS;Groupe 115 Pilotage;Exécution;Gestion financière et comptable;;;;;;
;;;;;;;;;;;
115INACC;INFO ACCOMPAGNT PREST EXT;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Accompagnement prestataires extérieurs;;;;;;
115INADM;INFO ADM SERVICES;GPEDFUDS;Groupe 115 Informatique num et reseau;Exécution;Administration et fonctionnement des services informatiques;;;;;;
