Structure;Code;Label;fleche;pluri;eotp;cc;cp;groupe1;groupe2
P7R14ARCH;NA;Non affecté;non;non;NA;P7R14ARCH1;P7R14ARCH;Recherche;ARCH
P7R14LIVE;NA;Non affecté;non;non;NA;P7R14LIVE1;P7R14LIVE;Recherche;LIVE
P7R15LISE;NA;Non affecté;non;non;NA;P7R15LISE1;P7R15LISE;Recherche;LISE
P7R15LNCA;NA;Non affecté;non;non;NA;P7R15LNCA1;P7R15LNCA;Recherche;LNCA
P7R15LPCO;NA;Non affecté;non;non;NA;P7R15LPCO1;P7R15LPCO;Recherche;LPCO
P7R15SULI;NA;Non affecté;non;non;NA;P7R15SULI1;P7R15SULI;Recherche;SULI
P7R16CARR;NA;Non affecté;non;non;NA;P7R16CARR1;P7R16CARR;Recherche;CARR
P7R16CHER;NA;Non affecté;non;non;NA;P7R16CHER1;P7R16CHER;Recherche;CHER
P7R16CLIT;NA;Non affecté;non;non;NA;P7R16CLIT1;P7R16CLIT;Recherche;CLIT
P7R16EGER;NA;Non affecté;non;non;NA;P7R16EGER1;P7R16EGER;Recherche;EGER
P7R16GEOS;NA;Non affecté;non;non;NA;P7R16GEOS1;P7R16GEOS;Recherche;GEOS
P7R16LILP;NA;Non affecté;non;non;NA;P7R16LILP1;P7R16LILP;Recherche;LILP
P7R16SEAR;NA;Non affecté;non;non;NA;P7R16SEAR1;P7R16SEAR;Recherche;SEAR
P7R17PHAC;NA;Non affecté;non;non;NA;P7R17PHAC1;P7R17PHAC;Recherche;PHAC
P7R17TCSR;NA;Non affecté;non;non;NA;P7R17TCSR1;P7R17TCSR;Recherche;TCSR
P7R17TPRO;NA;Non affecté;non;non;NA;P7R17TPRO1;P7R17TPRO;Recherche;TPRO
P7R18ACCR;NA;Non affecté;non;non;NA;P7R18ACCR1;P7R18ACCR;Recherche;ACCR
P7R21IRMA;NA;Non affecté;non;non;NA;P7R21IRMA1;P7R21IRMA;Recherche;IRMA
P7R22ICUB;NA;Non affecté;non;non;NA;P7R22ICUB1;P7R22ICUB;Recherche;ICUB
P7R31EOST;NA;Non affecté;non;non;NA;P7R31EOST1;P7R31EOST;Recherche;EOST
P7R31IPGS;NA;Non affecté;non;non;NA;P7R31IPGS1;P7R31IPGS;Recherche;IPGS
