Groupe1;Groupe2;Perimetre;CFParent;CF;Label;Societe
Composantes;LGE;1010;LGE3;LGE3MR;LGE-FORM MASTER;1010
Composantes;LGE;1010;LGE;LGE4;LGE-FORM DU;1010
Composantes;LGE;1010;LGE4;LGE4DU1;LGE-FORM INTER TRAD;1010
Composantes;LGE;1010;LGE;LGE8;LGE-BIBLIOTHEQUES;1010
Composantes;MAI;1010;CPE;MAI;UFR MATHS INFO;1010
Composantes;MAI;1010;MAI;MAI1;MAI-LOG IMMO ET SECU;1010
Composantes;MAI;1010;MAI;MAI2;MAI-PIL ET LOG COMP;1010
Composantes;MAI;1010;MAI2;MAI2A;MAI-MAT PIL ET LOG;1010
Composantes;MAI;1010;MAI2;MAI2B;MAI-INF PIL ET LOG;1010
Composantes;MAI;1010;MAI2;MAI2IM;MAI-REPROGRAPHIE;1010
Composantes;MAI;1010;MAI;MAI3;MAI-UFR FORM DN;1010
Composantes;MAI;1010;MAI3;MAI3A;MAI-MATHS FORM DN;1010
Composantes;MAI;1010;MAI3;MAI3B;MAI-INFO FORM DN;1010
Composantes;MAI;1010;MAI;MAI4DUA2;MAI-DUAS;1010
Composantes;MAI;1010;MAI;MAI5;MAI-FORM NON DIPLOM;1010
Composantes;MAI;1010;MAI;MAI71;MAI-LOGEMENTS;1010
Composantes;MAI;1010;MAI;MAI72;MAI-IREM;1010
Composantes;MAI;1010;MAI;MAI8;MAI-BIBLIOTHEQUE;1010
Composantes;MED;1010;CPE;MED;FACULTE DE MEDECINE;1010
Composantes;MED;1010;MED;MED1;MED-LOG IMMO ET SECU;1010
Composantes;MED;1010;MED;MED2;MED-PIL ET LOG COMP;1010
Composantes;MED;1010;MED2;MED2IM;MED-IMPRIMERIE;1010
Composantes;MED;1010;MED2;MED2SC;MED-SCAP;1010
Composantes;MED;1010;MED;MED3;MED-FORM DN;1010
Composantes;MED;1010;MED3;MED3HO;MED-HONORAIRES PEDAG;1010
Composantes;MED;1010;MED;MED5;MED-FORM NON DIPLOM;1010
Composantes;MED;1010;MED;MED5FCFI;MED FORM INIT ET CON;1010
Composantes;MED;1010;MED;MED8;MED-BIBLIOTHEQUE;1010
Composantes;ODO;1010;CPE;ODO;FAC DE CHIR DENTAIRE;1010
Composantes;ODO;1010;ODO;ODO1;ODO-LOG IMMO ET SECU;1010
Composantes;ODO;1010;ODO;ODO2;ODO-PIL ET LOG COMP;1010
Composantes;ODO;1010;ODO;ODO3;ODO-FORM DN;1010
Composantes;ODO;1010;ODO;ODO4;ODO-DU CHIR DENT;1010
Composantes;ODO;1010;ODO4;ODO4DU1;ODO-DU BASES IMPL;1010
Composantes;ODO;1010;ODO4;ODO4DU3;ODO-DU PARODONT CLIN;1010
Composantes;ODO;1010;ODO4;ODO4DU4;ODO-DU FORM IMAGERIE;1010
Composantes;ODO;1010;ODO4;ODO4DU6;ODO-DU ESTH SOURIRE;1010
Composantes;ODO;1010;ODO4;ODO4DU7;ODO-DU HYG STERILI;1010
